deny,pirat,hirat,lvrat,chist,mhist,phist,unemp,selfemp,insurance,condomin,afam,single,hschool
0,0.22,0.22,0.8,5,2,0,3.9,0,0,0,0,0,1
0,0.26,0.26,0.92,2,2,0,3.2,0,0,0,0,1,1
0,0.37,0.25,0.92,1,2,0,3.2,0,0,0,0,0,1
0,0.32,0.25,0.86,1,2,0,4.3,0,0,0,0,0,1
0,0.36,0.35,0.6,1,1,0,3.2,0,0,0,0,0,1
0,0.24,0.17,0.51,1,1,0,3.9,0,0,0,0,0,1
0,0.35,0.29,0.75,1,2,0,3.9,0,0,1,0,1,1
0,0.28,0.22,0.85,2,2,0,1.8,0,0,0,0,0,1
1,0.31,0.24,0.9,2,2,0,3.1,0,1,0,0,0,1
0,0.18,0.17,0.36,2,1,0,3.9,0,0,0,0,1,1
0,0.28,0.27,0.22,1,2,0,3.1,0,0,1,0,1,1
0,0.31,0.3,0.69,1,2,0,4.3,0,0,0,0,1,1
1,0.28,0.27,0.54,1,2,0,4.3,0,1,0,0,0,1
0,0.36,0.34,0.65,1,1,0,10.6,0,0,0,0,0,1
0,0.18,0.15,0.36,1,1,0,3.2,0,0,0,0,0,1
0,0.36,0.27,0.83,2,1,0,3.2,0,0,0,0,0,1
0,0.23,0.22,0.64,1,1,0,3.2,0,0,0,0,0,1
0,0.32,0.27,0.44,2,1,0,3.2,0,0,0,0,0,1
0,0.31,0.29,0.79,2,2,0,4.3,0,0,0,0,0,1
0,0.37,0.28,0.8,2,2,0,3.1,0,0,0,0,1,1
1,0.37,0.22,0.9,6,1,1,3.1,0,1,0,0,0,1
0,0.39,0.31,0.88,3,2,0,5.3,0,0,0,0,0,1
0,0.32,0.32,0.77,1,2,0,10.6,0,0,0,0,1,1
0,0.39,0.33,0.9,1,2,0,3.2,0,0,0,0,0,1
0,0.33,0.31,0.65,1,2,0,3.9,0,0,0,0,1,1
0,0.28,0.13,0.63,1,2,0,3.2,0,0,1,0,1,1
0,0.37,0.28,0.89,1,2,0,1.8,0,0,1,0,1,1
0,0.3,0.25,0.49,1,2,0,3.2,0,0,0,0,1,1
0,0.31,0.29,0.95,1,2,0,3.9,0,0,0,0,0,1
0,0.26,0.21,0.89,1,2,0,1.8,0,0,0,1,1,1
0,0.36,0.29,0.86,1,2,0,4.3,0,0,0,0,1,1
0,0.37,0.2,0.71,5,1,0,4.3,0,0,0,0,0,1
0,0.35,0.26,0.75,3,2,0,3.6,0,0,0,0,1,1
0,0.37,0.26,0.9,1,2,0,2,0,0,0,0,1,1
0,0.34,0.28,0.85,1,2,0,4.3,0,0,0,0,0,1
0,0.38,0.28,0.47,1,2,0,3.9,0,0,1,0,0,1
0,0.44,0.31,0.69,1,1,0,3.1,0,0,0,0,0,1
0,0.35,0.22,0.9,2,1,0,4.3,0,0,0,1,0,1
0,0.38,0.28,0.88,1,2,0,3.1,0,0,0,0,0,1
0,0.37,0.34,0.92,1,2,0,3.1,0,0,0,0,1,1
0,0.37,0.28,0.94,1,2,0,3.9,0,0,0,0,0,1
0,0.41,0.1,0.64,1,1,0,2,0,0,1,0,0,1
1,0.35,0.34,1.48,1,2,0,3.2,0,1,0,0,0,1
1,0.41,0.3,0.72,3,4,0,3.2,0,0,0,0,0,1
0,0.34,0.28,0.68,6,2,1,3.1,0,0,0,0,1,1
0,0.29,0.19,0.9,2,2,0,3.2,0,0,0,0,0,1
1,0.27,0.26,0.8,6,2,1,3.2,0,0,0,0,0,1
0,0.37,0.27,0.85,1,2,0,3.2,0,0,0,1,1,1
1,0.34,0.3,0.74,1,2,0,3.9,1,0,0,0,0,1
0,0.36,0.15,0.68,2,1,0,3.1,0,0,0,0,1,1
0,0.34,0.32,0.64,5,3,0,3.2,0,0,0,0,1,1
0,0.27,0.21,0.94,1,2,0,2,0,0,0,0,0,1
0,0.16,0.08,0.73,1,1,0,3.2,0,0,0,0,1,1
0,0.39,0.28,0.91,1,2,0,3.1,0,0,0,0,1,1
0,0.36,0.26,0.21,5,2,0,3.2,0,0,0,0,0,1
0,0.31,0.26,0.93,1,2,1,3.2,0,0,0,0,0,1
0,0.34,0.28,0.9,1,2,1,3.9,0,0,0,0,0,1
0,0.33,0.28,0.9,2,2,0,10.6,0,0,0,0,1,1
0,0.33,0.33,0.64,1,1,0,4.3,1,0,0,0,1,1
0,0.4,0.27,0.77,1,2,0,10.6,0,0,1,0,1,1
0,0.34,0.32,0.75,1,2,0,3.2,0,0,0,0,0,1
0,0.38,0.28,0.8,2,1,0,3.2,0,0,1,0,1,1
0,0.32,0.25,0.89,1,2,0,4.3,0,0,1,0,0,1
0,0.28,0.21,0.75,1,2,0,5.3,0,0,0,0,0,1
0,0.32,0.25,0.89,2,2,0,3.2,0,0,0,0,0,1
0,0.28,0.26,0.65,1,2,0,3.9,1,0,0,1,0,1
0,0.36,0.24,0.94,2,2,0,3.1,0,0,0,0,0,1
0,0.34,0.31,0.43,4,1,0,3.2,0,0,0,0,0,1
0,0.35,0.27,0.68,1,1,0,3.2,0,0,1,0,1,1
0,0.35,0.29,0.88,2,2,0,3.2,0,0,1,0,1,1
0,0.35,0.28,0.94,1,1,0,3.2,0,0,0,0,0,1
0,0.34,0.25,0.9,1,2,0,3.1,0,0,0,0,0,1
0,0.28,0.28,0.74,1,2,0,3.2,0,0,0,0,1,1
0,0.38,0.22,0.9,2,2,0,4.3,0,0,0,0,0,1
0,0.26,0.19,0.68,2,2,0,5.3,0,0,0,0,0,1
0,0.22,0.08,0.8,2,1,0,10.6,1,0,0,0,0,1
0,0.23,0.17,0.55,1,1,0,3.1,0,0,0,0,0,1
0,0.28,0.28,0.65,1,2,0,3.2,0,0,0,0,0,1
1,0.26,0.26,0.84,2,2,1,4.3,0,1,0,0,0,1
0,0.36,0.24,0.78,1,4,0,5.3,0,0,1,0,1,1
0,0.27,0.27,0.67,1,1,0,2,0,0,0,0,0,1
0,0.36,0.22,0.8,2,1,0,3.2,1,0,1,0,1,1
1,0.31,0.31,0.88,4,2,0,3.2,0,0,0,1,0,1
1,0.36,0.29,0.9,2,2,0,4.3,0,0,0,0,1,1
0,0.4,0.24,0.66,2,1,0,3.2,0,0,0,0,0,1
0,0.34,0.26,0.75,2,1,0,10.6,1,0,0,0,0,1
1,0.22,0.21,0.77,2,2,0,4.3,0,0,0,1,0,1
0,0.32,0.32,0.85,1,2,0,4.3,0,0,0,0,1,1
0,0.32,0.24,0.95,1,2,0,4.3,0,0,0,0,0,1
0,0.28,0.28,0.43,1,2,0,2,0,0,0,0,1,1
1,0.39,0.32,0.89,3,2,0,2,0,0,0,1,0,1
0,0.25,0.18,0.78,1,2,0,3.2,0,0,1,0,1,1
0,0.34,0.25,0.8,1,1,0,10.6,0,0,0,0,0,1
0,0.32,0.22,0.73,2,2,0,3.2,0,0,0,0,1,1
0,0.31,0.26,0.79,1,2,0,1.8,1,0,0,0,0,1
0,0.33,0.31,0.58,1,2,0,4.3,0,0,1,0,1,1
0,0.32,0.31,0.64,2,2,0,3.2,0,0,0,0,0,1
0,0.38,0.3,0.88,2,1,0,10.6,0,0,0,0,0,1
0,0.32,0.2,0.8,1,2,0,2,0,0,0,0,0,1
0,0.23,0.22,0.92,1,2,0,4.3,0,0,0,0,0,1
0,0.27,0.27,0.75,2,2,0,4.3,0,0,0,0,0,1
0,0.31,0.31,0.67,5,1,0,1.8,0,0,0,0,1,1
0,0.35,0.23,0.85,3,2,0,3.9,0,0,0,0,1,1
0,0.32,0.27,0.74,2,2,0,3.2,1,0,0,0,1,1
0,0.36,0.1,0.8,1,1,0,3.9,0,0,0,0,0,1
1,0.35,0.33,0.93,1,2,0,3.9,0,1,0,0,1,1
0,0.34,0.24,0.92,3,2,0,3.1,0,0,0,0,0,1
0,0.31,0.22,0.8,2,2,0,10.6,1,0,0,0,1,1
0,0.29,0.21,0.7,3,3,0,3.1,0,0,0,0,0,1
1,0.61,0.39,0.56,1,2,0,10.6,0,0,0,0,0,1
0,0.26,0.23,0.63,1,1,0,3.2,0,0,0,0,0,1
0,0.26,0.26,0.69,2,2,0,4.3,0,0,0,0,1,1
0,0.36,0.29,0.79,1,2,0,3.2,0,0,0,0,0,1
1,0.46,0.31,1.11,2,1,0,4.3,1,0,0,0,1,1
0,0.3,0.22,0.67,1,2,0,3.2,0,0,0,0,0,1
0,0.38,0.28,0.51,2,2,0,3.9,0,0,0,0,1,1
0,0.26,0.22,0.79,1,2,0,10.6,1,0,0,0,0,1
0,0.33,0.31,0.3,1,1,0,3.2,0,0,0,0,0,1
1,0.47,0.31,0.89,3,2,0,3.2,1,0,0,1,1,1
0,0.19,0.18,0.74,1,2,0,1.8,0,0,0,0,0,1
0,0.3,0.3,0.89,4,2,0,4.3,0,0,0,0,1,1
0,0.36,0.26,0.74,1,1,0,3.9,0,0,0,0,0,1
0,0.33,0.26,0.7,1,2,0,3.9,0,0,0,0,1,1
0,0.23,0.23,0.74,1,2,0,3.1,0,0,1,0,1,1
0,0.41,0.34,0.8,3,1,0,3.2,0,0,0,0,0,1
0,0.36,0.3,0.95,2,2,0,1.8,0,0,0,0,0,1
1,0.41,0.33,0.69,1,2,0,1.8,0,0,0,0,0,1
0,0.33,0.33,0.68,1,2,0,5.3,0,0,0,0,0,1
1,0.29,0.29,0.57,6,2,1,1.8,0,0,1,0,1,1
0,0.41,0.28,0.79,1,1,0,3.1,0,0,0,0,0,1
0,0.33,0.28,0.9,1,2,0,3.6,0,0,0,0,0,1
0,0.23,0.19,0.89,1,1,0,3.2,0,0,0,0,0,1
0,0.39,0.34,0.72,1,1,0,3.2,1,0,0,0,0,1
0,0.39,0.15,0.8,5,1,0,3.2,1,0,0,0,0,1
0,0.27,0.24,0.8,1,1,0,3.2,0,0,0,0,0,1
0,0.38,0.14,0.8,1,1,0,4.3,1,0,1,0,1,1
0,0.38,0.28,0.8,6,2,0,3.9,0,0,1,1,1,1
0,0.37,0.26,0.58,1,2,0,3.2,0,0,0,0,0,1
0,0.32,0.32,0.78,4,2,0,3.2,0,0,1,0,1,1
0,0.4,0.36,0.64,1,1,0,3.2,0,0,0,0,1,1
0,0.4,0.31,0.8,2,2,0,3.2,0,0,1,0,1,1
0,0.41,0.34,0.75,1,2,0,3.2,0,0,1,0,1,1
0,0.3,0.2,0.78,1,2,0,1.8,0,0,1,0,1,1
0,0.36,0.32,0.9,1,2,0,3.2,0,0,0,0,1,1
0,0.27,0.26,0.8,1,2,0,3.2,0,0,1,0,1,1
0,0.27,0.24,0.89,1,2,0,3.2,0,0,1,0,0,1
0,0.27,0.23,0.8,1,2,0,3.9,0,0,1,0,0,1
0,0.41,0.32,0.89,6,2,0,3.2,0,0,0,1,1,1
0,0.31,0.28,0.58,6,2,0,3.2,0,0,0,0,0,1
0,0.31,0.31,0.67,5,2,0,3.2,0,0,1,0,1,1
0,0.36,0.3,0.86,1,2,0,1.8,0,0,1,1,0,1
0,0.39,0.31,0.81,2,2,0,3.2,0,0,0,0,0,1
0,0.32,0.32,0.73,1,2,0,3.2,0,0,0,0,0,1
0,0.18,0.16,0.31,1,2,0,5.3,0,0,0,0,0,1
0,0.34,0.27,0.38,6,2,0,1.8,0,0,0,0,0,1
